DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DE,2017,28452,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DE,2018,29604,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DE,2019,30098,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DE,2020,30503,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DE,2021,31753,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DE,2022,34087,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DE,2023,35487,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DE,2024,37038,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DE,2025,38462,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2014,21183,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2015,21981,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2016,22355,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2017,23282,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2018,24059,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2019,24280,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2020,24603,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2021,25842,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2022,26757,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2023,28834,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2024,30037,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DK,2025,31509,,
