DATAFLOW,LAST UPDATE,freq,age,statinfo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2014,31.0,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2015,30.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2016,30.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2017,30.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2018,30.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2019,30.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2020,30.2,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2021,30.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2022,29.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2023,29.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2024,29.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA20,2025,29.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EA21,2025,29.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2014,35.6,b,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2015,34.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2016,32.7,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2017,31.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2018,30.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2019,30.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2020,30.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2021,30.6,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2022,31.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2023,31.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2024,30.8,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EE,2025,30.9,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2014,34.5,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2015,34.2,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2016,34.3,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2017,33.4,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2018,32.3,,
ESTAT:ILC_DI12(1.0),08/06/26 23:00:00,A,TOTAL,GINI_HND,EL,2019,31.0,,
